Packet drops detected:
At index 8594 (Timestamp: 20240605 08:41:18), Delay: 2.0 seconds
At index 8631 (Timestamp: 20240605 08:41:56), Delay: 2.0 seconds
At index 8871 (Timestamp: 20240605 08:45:57), Delay: 2.0 seconds
At index 9053 (Timestamp: 20240605 08:49:00), Delay: 2.0 seconds
At index 9115 (Timestamp: 20240605 08:50:03), Delay: 2.0 seconds
At index 9250 (Timestamp: 20240605 08:52:19), Delay: 2.0 seconds
At index 9293 (Timestamp: 20240605 08:53:03), Delay: 2.0 seconds
At index 9346 (Timestamp: 20240605 08:53:57), Delay: 2.0 seconds
At index 9495 (Timestamp: 20240605 08:56:27), Delay: 2.0 seconds
At index 9675 (Timestamp: 20240605 08:59:28), Delay: 2.0 seconds
At index 9768 (Timestamp: 20240605 09:01:02), Delay: 2.0 seconds
At index 9798 (Timestamp: 20240605 09:01:33), Delay: 2.0 seconds
At index 9953 (Timestamp: 20240605 09:04:09), Delay: 2.0 seconds
At index 10095 (Timestamp: 20240605 09:06:32), Delay: 2.0 seconds
At index 10296 (Timestamp: 20240605 09:09:54), Delay: 2.0 seconds
At index 10584 (Timestamp: 20240605 09:14:43), Delay: 2.0 seconds
At index 10603 (Timestamp: 20240605 09:15:02), Delay: 2.0 seconds
At index 10626 (Timestamp: 20240605 09:15:25), Delay: 2.0 seconds
At index 10634 (Timestamp: 20240605 09:15:34), Delay: 3.0 seconds
At index 10675 (Timestamp: 20240605 09:16:14), Delay: 2.0 seconds
At index 10773 (Timestamp: 20240605 09:17:53), Delay: 2.0 seconds
At index 10782 (Timestamp: 20240605 09:18:02), Delay: 2.0 seconds
At index 10884 (Timestamp: 20240605 09:19:44), Delay: 2.0 seconds
At index 11268 (Timestamp: 20240605 09:26:09), Delay: 2.0 seconds
At index 11386 (Timestamp: 20240605 09:28:08), Delay: 2.0 seconds
At index 11664 (Timestamp: 20240605 09:32:47), Delay: 2.0 seconds
At index 12146 (Timestamp: 20240605 09:40:50), Delay: 2.0 seconds
